title,url,height_cm,price_gbp,media,width_cm
Disperse by Dionne Cole,https://www.bearspace.co.uk/product-page/disperse-by-dionne-cole,76 ,"1,400.00","https://static.wixstatic.com/media/23a2ed_5a37bf930ae143e7ba99b848c648dec6~mv2_d_1969_1470_s_2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_5a37bf930ae143e7ba99b848c648dec6~mv2_d_1969_1470_s_2.jpg", 101
Meld 6 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,17 ,440.00,"https://static.wixstatic.com/media/23a2ed_4a87f4b78dfe4f44ae7185ae46ea8d6e~mv2_d_3299_4948_s_4_2.jpg/v1/fill/w_996,h_1496,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_4a87f4b78dfe4f44ae7185ae46ea8d6e~mv2_d_3299_4948_s_4_2.jpg", 18
The Ephemeral Isles 1 by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-1-by-jane-ward,90,"1,800.00","https://static.wixstatic.com/media/23a2ed_7fa5a47539eb48bf8cd411be58fb085f~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_7fa5a47539eb48bf8cd411be58fb085f~mv2.jpg",120
Those Hidden Ravines by Jane Ward,https://www.bearspace.co.uk/product-page/those-hidden-ravines-by-jane-ward,45,640.00,"https://static.wixstatic.com/media/23a2ed_a6c6e2223b92494fa3c0ed9f179fb295~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_a6c6e2223b92494fa3c0ed9f179fb295~mv2.jpg",60
The Ephemeral Isles 5 by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-5a-by-jane-ward,45,490.00,"https://static.wixstatic.com/media/23a2ed_aafa15639a6843ce9e1649c84200fdba~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_aafa15639a6843ce9e1649c84200fdba~mv2.jpg",60
From Steep to Steep by Jane Ward,https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,45,640.00,"https://static.wixstatic.com/media/23a2ed_3028289105ee45c1a5e7526d60f7053d~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_3028289105ee45c1a5e7526d60f7053d~mv2.jpg",60
Castle 2 by Jane Ward,https://www.bearspace.co.uk/product-page/castle-2-by-jane-ward,45,640.00,"https://static.wixstatic.com/media/23a2ed_b576cb46781d4f79bbfcf8aa2da26582~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_b576cb46781d4f79bbfcf8aa2da26582~mv2.jpg",60
Unfathomable Deeps by Jane Ward,https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward-1,24,340.00,"https://static.wixstatic.com/media/23a2ed_acf9e352b7a84a86b51ef8a0968a4167~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_acf9e352b7a84a86b51ef8a0968a4167~mv2.jpg",30
From Frozen Floods by Jane Ward,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,24,340.00,"https://static.wixstatic.com/media/23a2ed_a56784ef8e1c4e238e30503b068834d1~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_a56784ef8e1c4e238e30503b068834d1~mv2.jpg",30
Meld 5,https://www.bearspace.co.uk/product-page/copy-of-meld-5,17 ,420.00,"https://static.wixstatic.com/media/23a2ed_0eedc0b3325148d3b70c672204d09cec~mv2_d_3299_4948_s_4_2.jpg/v1/fill/w_996,h_1496,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_0eedc0b3325148d3b70c672204d09cec~mv2_d_3299_4948_s_4_2.jpg", 15
Portal 1 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-1-by-jane-ward,,320.00,"https://static.wixstatic.com/media/23a2ed_6a7713a996f94a9897b7e4ed2503dae8~mv2.jpg/v1/fill/w_850,h_850,al_c,q_85/23a2ed_6a7713a996f94a9897b7e4ed2503dae8~mv2.jpg",
FRAGMENTATION No.44 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,70 ,"1,200.00","https://static.wixstatic.com/media/23a2ed_5fb34dd7ebcd4ea0a881b97068144617~mv2.jpg/v1/fill/w_749,h_1000,al_c,q_85/23a2ed_5fb34dd7ebcd4ea0a881b97068144617~mv2.jpg", 54
